sub,Auditory,CinguloOpercular/Action-mode,Default_Anterolateral,Default_Dorsolateral,Default_Parietal,Default_Retrosplenial,DorsalAttention,Frontoparietal,Language,MedialParietal,Premotor/DorsalAttentionII,Salience,SomatoCognitiveAction,Somatomotor_Face,Somatomotor_Foot,Somatomotor_Hand,Visual_Dorsal/VentralStream,Visual_Lateral,Visual_V1,Visual_V5
14094,3.49,16.99,6.33,4.05,4.20,4.34,7.68,6.05,9.88,1.79,2.78,5.47,1.08,2.10,3.94,2.68,4.49,7.24,4.00,1.42
14098,3.90,10.58,5.90,4.57,14.10,6.86,8.46,5.51,2.81,0.56,2.90,8.12,0.51,2.68,4.31,2.35,2.82,8.95,3.20,0.90
14099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14110,2.15,8.61,5.92,7.27,8.97,9.40,5.88,10.52,7.90,2.68,2.46,4.27,1.53,1.43,3.95,2.26,2.60,7.35,4.57,0.29
14112,5.16,12.54,3.17,7.23,10.34,10.62,5.43,11.00,1.50,2.70,2.51,2.94,NA,2.39,3.11,2.62,5.69,7.43,2.25,1.35
14115,2.90,10.72,5.10,4.03,5.76,4.97,7.43,8.67,6.24,3.77,2.42,9.89,0.34,3.72,3.99,2.15,3.08,9.13,4.34,1.37
14118,2.81,18.77,2.76,2.89,5.98,8.51,6.99,9.79,3.95,3.96,2.94,8.24,0.32,3.39,2.29,2.20,2.33,7.73,3.50,0.65
14120,3.94,15.69,4.83,0.39,5.64,1.62,3.55,0.91,16.19,0.58,5.59,0.50,1.13,5.48,3.11,1.95,9.56,13.08,5.05,1.21
14125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14129,7.09,11.54,3.23,2.24,5.52,6.70,6.94,16.71,6.24,2.47,2.65,4.02,1.01,2.07,4.42,1.78,4.87,6.63,3.00,0.88
14132,3.74,12.67,2.74,1.31,8.18,9.04,5.79,12.19,2.56,3.53,2.77,5.18,2.09,3.16,1.73,0.84,7.29,10.16,3.63,1.41
