sub,Auditory,CinguloOpercular/Action-mode,Default_Anterolateral,Default_Dorsolateral,Default_Parietal,Default_Retrosplenial,DorsalAttention,Frontoparietal,Language,MedialParietal,Premotor/DorsalAttentionII,Salience,SomatoCognitiveAction,Somatomotor_Face,Somatomotor_Foot,Somatomotor_Hand,Visual_Dorsal/VentralStream,Visual_Lateral,Visual_V1,Visual_V5
14094,5.10,12.18,3.34,4.59,6.00,4.64,5.44,7.88,7.32,2.78,3.75,7.32,0.46,3.43,4.24,3.18,4.19,9.37,3.56,1.23
14098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14110,2.15,9.01,6.55,4.44,9.12,7.47,6.40,11.08,8.61,1.58,3.95,5.40,1.17,1.76,4.20,2.32,4.32,5.54,3.69,1.25
14112,5.76,18.96,2.78,2.59,4.47,6.16,5.84,7.15,7.88,1.93,3.95,2.94,1.05,2.87,3.28,3.23,6.59,8.30,2.87,1.38
14115,4.33,8.34,7.38,5.53,10.78,3.22,7.25,4.87,7.24,2.02,2.87,3.91,0.13,2.49,4.67,3.30,5.86,10.01,4.17,1.63
14118,2.30,9.90,5.73,6.27,11.41,6.06,4.82,11.23,6.01,2.23,3.26,5.70,0.67,2.80,2.61,2.45,3.99,7.95,4.02,0.58
14120,3.30,14.11,3.55,6.28,7.11,5.83,7.91,14.31,5.67,1.43,4.33,3.10,1.36,4.16,2.60,1.52,3.67,7.53,1.46,0.78
14129,5.27,14.17,1.59,2.32,5.86,3.50,5.57,11.01,8.59,1.75,2.95,7.68,1.22,1.38,4.00,2.61,6.04,7.51,4.71,2.26
14132,3.48,12.38,4.36,2.09,9.48,6.34,6.40,7.69,9.60,4.78,2.97,3.34,0.58,3.47,2.56,2.46,3.03,10.38,2.88,1.71
14136,4.12,22.60,5.29,2.80,5.81,4.34,6.40,5.76,8.00,2.60,4.91,4.38,0.64,2.55,2.92,1.69,5.44,5.67,3.61,0.48
14137,2.35,7.88,6.46,7.57,13.03,6.28,5.04,9.50,5.59,3.19,4.37,4.23,1.47,2.73,1.95,1.62,4.57,8.76,3.03,0.40
14145,1.93,6.38,6.69,4.55,16.06,9.30,7.68,7.77,7.30,0.65,4.54,1.51,0.28,2.98,4.22,1.87,5.38,6.11,3.67,1.12
14164,2.92,13.35,1.75,4.48,9.77,1.63,4.31,9.07,14.93,1.51,4.96,3.17,0.24,3.27,3.84,2.96,2.68,10.18,3.72,1.26
14168,6.57,21.28,5.60,2.99,5.17,1.25,2.88,4.42,9.69,2.44,3.70,4.53,0.74,1.76,3.89,4.42,4.16,8.39,4.71,1.43
14171,3.91,14.64,5.08,5.69,9.52,8.07,4.69,7.32,4.28,2.09,4.38,3.41,2.02,2.84,3.42,2.51,4.17,6.83,4.35,0.77
14172,3.74,10.12,7.12,3.98,8.02,7.40,6.47,16.41,3.18,5.13,2.08,3.21,1.46,1.77,3.19,1.56,3.01,6.52,4.50,1.15
14181,3.94,13.46,3.85,4.09,3.45,2.96,6.68,13.91,7.26,3.42,4.24,6.41,0.64,1.96,2.59,2.46,4.90,7.28,5.45,1.05
14185,3.84,7.20,3.62,3.74,7.39,2.64,8.14,16.43,6.74,3.34,4.40,1.04,0.22,4.51,3.57,3.18,5.54,9.23,4.27,0.95
14187,4.92,19.94,2.45,1.85,4.75,6.26,4.35,6.63,8.73,2.43,5.33,5.75,0.60,3.32,3.77,2.17,3.64,7.61,4.38,1.09
14210,4.24,9.23,4.74,7.16,7.62,3.99,6.45,11.95,6.98,2.07,2.28,5.66,1.28,2.43,4.27,2.68,3.86,9.07,3.63,0.40
14211,5.21,11.01,5.34,3.42,8.90,6.20,5.18,10.91,4.68,1.04,3.56,6.69,0.51,5.60,3.95,2.50,1.86,8.40,3.13,1.90
14213,4.54,6.86,2.46,4.99,9.10,3.09,3.87,17.68,6.56,3.19,2.52,5.85,0.68,5.10,3.19,1.20,4.72,8.48,4.76,1.16
14226,2.95,9.98,3.74,3.46,7.48,6.44,4.20,17.90,5.96,3.46,3.32,4.02,0.73,2.72,4.31,2.97,3.27,8.59,3.32,1.20
14236,3.88,14.66,7.23,2.92,9.66,3.94,5.22,10.80,8.42,3.25,2.08,6.31,0.39,3.45,2.99,2.05,2.03,7.39,2.56,0.77
14241,1.82,11.04,2.90,3.56,13.09,7.73,7.87,10.47,4.97,0.58,2.96,1.03,0.44,3.67,4.77,4.16,6.23,8.24,3.33,1.14
14245,5.84,16.79,5.35,4.17,8.99,4.13,4.56,11.38,5.43,2.78,2.98,2.14,1.08,3.98,3.43,1.26,2.88,8.20,3.73,0.92
14249,3.14,12.61,5.24,4.41,9.04,6.09,9.31,12.15,4.88,3.10,4.38,3.86,0.37,1.81,3.07,3.63,2.03,5.83,3.10,1.94
14255,3.05,17.47,6.78,4.34,11.67,7.20,3.65,2.48,9.53,0.79,3.65,3.81,0.48,2.01,3.52,2.36,3.75,7.46,3.62,2.39
14284,2.34,14.14,6.27,2.74,8.90,4.94,6.61,12.22,9.16,3.20,2.93,3.67,0.96,3.45,3.15,2.07,1.95,6.54,3.47,1.27
14285,3.22,9.39,4.56,3.58,4.74,5.13,6.21,8.87,9.69,1.30,3.84,4.37,0.52,4.41,4.83,3.44,7.69,7.68,4.24,2.29
14295,4.51,17.42,6.53,3.29,9.84,3.51,7.21,3.81,7.82,2.34,2.15,4.66,0.38,2.28,2.68,3.09,5.04,8.74,4.48,0.20
14303,4.51,13.19,4.26,5.86,10.31,6.15,5.63,8.60,6.62,3.09,3.74,2.90,1.20,3.92,2.35,2.09,3.09,7.41,3.84,1.22
14316,4.36,8.76,3.76,2.86,5.13,4.98,11.55,8.76,6.20,4.50,2.02,3.23,0.55,3.19,4.62,3.36,6.97,8.28,4.41,2.52
14328,3.17,13.77,4.28,3.01,9.24,5.89,7.09,6.79,9.23,2.25,4.05,7.18,0.85,1.80,3.64,1.91,2.95,6.56,5.15,1.21
14333,4.66,5.88,3.56,7.29,6.62,9.12,8.12,11.98,7.81,2.06,4.04,4.71,1.22,4.25,4.26,2.41,1.80,5.18,4.05,0.96
27999,1.73,20.72,5.52,2.92,5.59,3.90,5.12,3.28,6.44,2.04,9.77,6.12,0.09,3.18,3.82,0.75,2.24,12.76,2.96,1.06
28001,2.46,18.66,1.94,3.10,7.26,5.43,10.77,9.80,3.83,2.56,1.68,6.33,0.03,2.14,2.25,3.19,4.51,8.10,4.26,1.70
28003,4.66,12.35,4.20,4.52,7.88,5.42,9.22,6.87,3.74,1.30,3.48,5.75,0.40,3.73,2.06,2.00,6.09,10.20,4.84,1.29
